"unit_id","project_id","status","name","building","type","floor","rooms","bedrooms","size","price","current_price","source_current_price","price_bin","size_bin","price_per_sqmt","price_per_sqmt_bin","Apartment","Unit_category","blocked","External_managed","reserved_at","sold_perc","sold_perc_cum","first_res_req","first_purchase_at","first_cancelation_req_at","first_cancelation_paid_at","number_of_reservations","sales_start"
"100",75931,0,LOS EUCALIPTOS ES 03.0.3,3.0,1.0,EG,2.0,,113.39,375000.0,375000.0,CMS,"(139490.0, 431655.0]","(66.0, 734.0]",3307.169944439545,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,,,,,,,,2018-09-18
"10000",80374,0, 01.02.02,1.0,1.0,"02.OG",2.0,,59.86,475000.0,475000.0,CMS,"(431655.0, 9490000.0]","(21.0, 66.0]",7935.1820915469425,"(6994.0, 14599.0]",APARTMENT,Apartment,0,0,,,,,,,,,2022-08-18
"10001",80374,0, 01.02.03,1.0,1.0,"02.OG",1.0,,44.43,359000.0,359000.0,CMS,"(139490.0, 431655.0]","(21.0, 66.0]",8080.126040963313,"(6994.0, 14599.0]",APARTMENT,Apartment,0,0,,,,,,,,,2022-08-18
"10002",80374,0, 01.02.04,1.0,1.0,"02.OG",3.0,,83.99,649000.0,649000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",7727.1103702821765,"(6994.0, 14599.0]",APARTMENT,Apartment,0,0,,,,,,,,,2022-08-18
"10003",80374,0,"01.03.01",1.0,6.0,"03.OG",4.0,,119.58,995000.0,995000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",8320.789429670514,"(6994.0, 14599.0]",ROOFTOP_APARTMENT,Apartment,0,0,,,,,,,,,2022-08-18
"10004",80374,0,"01.03.02",1.0,6.0,"03.OG",4.0,,114.13,959000.0,959000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",8402.69867694734,"(6994.0, 14599.0]",ROOFTOP_APARTMENT,Apartment,0,0,,,,,,,,,2022-08-18
"10005",80374,1, 02.00.01,2.0,1.0,"00.EG",2.0,,40.94,339000.0,339000.0,Context_Reservation,"(139490.0, 431655.0]","(21.0, 66.0]",8280.410356619444,"(6994.0, 14599.0]",APARTMENT,Apartment,0,0,2022-09-27 00:00:00.000,,,2022-09-27,,,,3,2022-08-18
"10006",80374,0,"02.00.02",2.0,1.0,"00.EG",3.0,,79.08,629000.0,629000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",7953.970662620131,"(6994.0, 14599.0]",APARTMENT,Apartment,0,0,,,,,,,,,2022-08-18
"10007",80374,0, 02.00.03,2.0,1.0,"00.EG",2.0,,52.05,425000.0,425000.0,CMS,"(139490.0, 431655.0]","(21.0, 66.0]",8165.2257444764655,"(6994.0, 14599.0]",APARTMENT,Apartment,0,0,,,,,,,,,2022-08-18
"10008",80374,0,"02.00.04",2.0,1.0,"00.EG",3.0,,89.58,699000.0,699000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",7803.0810448760885,"(6994.0, 14599.0]",APARTMENT,Apartment,0,0,,,,,,,,,2022-08-18
"10009",80374,0,"02.01.01",2.0,1.0,"01.OG",3.0,,86.28,669000.0,669000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",7753.824756606397,"(6994.0, 14599.0]",APARTMENT,Apartment,0,0,,,,,,,,,2022-08-18
"10010",80374,1, 02.01.02,2.0,1.0,"01.OG",2.0,,51.99,419000.0,419000.0,Context_Reservation,"(139490.0, 431655.0]","(21.0, 66.0]",8059.242161954222,"(6994.0, 14599.0]",APARTMENT,Apartment,0,0,2022-10-10 00:00:00.000,,,2022-10-10,,,,1,2022-08-18
"10011",80374,0, 02.01.03,2.0,1.0,"01.OG",2.0,,51.29,419000.0,419000.0,CMS,"(139490.0, 431655.0]","(21.0, 66.0]",8169.233768765841,"(6994.0, 14599.0]",APARTMENT,Apartment,0,0,,,,,,,,,2022-08-18
"10012",80374,0,"02.01.04",2.0,1.0,"01.OG",3.0,,88.68,699000.0,699000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",7882.273342354532,"(6994.0, 14599.0]",APARTMENT,Apartment,0,0,,,,,,,,,2022-08-18
"10013",80374,0,"02.02.01",2.0,6.0,"02.OG",4.0,,132.1,1139000.0,1139000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",8622.2558667676,"(6994.0, 14599.0]",ROOFTOP_APARTMENT,Apartment,0,0,,,,,,,,,2022-08-18
"10014",80374,0,"02.02.02",2.0,6.0,"02.OG",4.0,,134.05,1149000.0,1149000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",8571.42857142857,"(6994.0, 14599.0]",ROOFTOP_APARTMENT,Apartment,0,0,,,,,,,,,2022-08-18
"10015",80276,1,GE VER_02_00_63 + VER_02_01_70,1.0,1.0,-01.UG-01.OG,10.0,,317.5,3980000.0,3980000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",12535.433070866142,"(6994.0, 14599.0]",APARTMENT,Apartment,0,0,,,,,,,,,2020-06-29
"10015",80276,1,GE VER_02_00_63 + VER_02_01_70,1.0,1.0,-01.UG-01.OG,10.0,,317.5,3980000.0,3980000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",12535.433070866142,"(6994.0, 14599.0]",APARTMENT,Apartment,0,0,,,,,,,,,2020-06-29
"10015",80276,1,GE VER_02_00_63 + VER_02_01_70,1.0,1.0,-01.UG-01.OG,10.0,,317.5,3980000.0,3980000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",12535.433070866142,"(6994.0, 14599.0]",APARTMENT,Apartment,0,0,,,,,,,,,2020-09-08
"10015",80276,1,GE VER_02_00_63 + VER_02_01_70,1.0,1.0,-01.UG-01.OG,10.0,,317.5,3980000.0,3980000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",12535.433070866142,"(6994.0, 14599.0]",APARTMENT,Apartment,0,0,,,,,,,,,
"10015",80276,1,GE VER_02_00_63 + VER_02_01_70,1.0,1.0,-01.UG-01.OG,10.0,,317.5,3980000.0,3980000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",12535.433070866142,"(6994.0, 14599.0]",APARTMENT,Apartment,0,0,,,,,,,,,2021-03-03
"10015",80276,1,GE VER_02_00_63 + VER_02_01_70,1.0,1.0,-01.UG-01.OG,10.0,,317.5,3980000.0,3980000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",12535.433070866142,"(6994.0, 14599.0]",APARTMENT,Apartment,0,0,,,,,,,,,2021-05-06
"10016",80276,1,GE VER_02_00_64,1.0,1.0,-01.UG-00.EG,8.0,,275.75,3270000.0,3270000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",11858.56754306437,"(6994.0, 14599.0]",APARTMENT,Apartment,0,0,,,,,,,,,2020-06-29
"10016",80276,1,GE VER_02_00_64,1.0,1.0,-01.UG-00.EG,8.0,,275.75,3270000.0,3270000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",11858.56754306437,"(6994.0, 14599.0]",APARTMENT,Apartment,0,0,,,,,,,,,2020-06-29
"10016",80276,1,GE VER_02_00_64,1.0,1.0,-01.UG-00.EG,8.0,,275.75,3270000.0,3270000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",11858.56754306437,"(6994.0, 14599.0]",APARTMENT,Apartment,0,0,,,,,,,,,2020-09-08
